"Week","% time that parts for industrial project available when needed (weekly)"
"0001-W-99136",80.4
"0001-W-99135",83.9
"0001-W-99134",82.6
"0001-W-99133",77.9
"0001-W-99132",83.5
"0001-W-99131",80.8
"0001-W-99130",78.5
"0001-W-99129",79.3
"0001-W-99128",81.2
"0001-W-99127",81.1
"0001-W-99126",78.2
"0001-W-99125",80.9
"0001-W-99124",77.9
"0001-W-99123",81.5
"0001-W-99122",81.4
"0001-W-99121",78.9
"0001-W-99120",76.2
"0001-W-99119",79.4
"0001-W-99118",81.4
"0001-W-99117",80.0
"0001-W-99116",79.9
"0001-W-99115",80.5
"0001-W-99114",79.7
"0001-W-99113",81.4
"0001-W-99112",82.4
"0001-W-99111",83.1
"0001-W-99110",80.4
"0001-W-99109",82.9
"0001-W-99108",82.7
"0001-W-99107",84.9
"0001-W-99106",84.4
"0001-W-99105",83.7
"0001-W-99104",84.5
"0001-W-99103",84.6
"0001-W-99102",85.2
"0001-W-99101",85.2
"0001-W-99100",80.1
"0001-W-99099",86.5
"0001-W-99098",81.8
"0001-W-99097",84.4
"0001-W-99096",84.2
"0001-W-99095",84.1
"0001-W-99094",83.2
"0001-W-99093",83.9
"0001-W-99092",86.0
"0001-W-99091",82.2
"0001-W-99090",81.2
"0001-W-99089",83.7
"0001-W-99088",82.7
"0001-W-99087",84.8
"0001-W-99086",81.2
"0001-W-99085",83.8
"0002-W-99136",86.4
"0002-W-99135",81.6
"0002-W-99134",83.6
"0002-W-99133",85.9
"0002-W-99132",79.8
"0002-W-99131",80.8
"0002-W-99130",78.7
"0002-W-99129",80.6
"0002-W-99128",79.4
"0002-W-99127",77.9
"0002-W-99126",80.4
"0002-W-99125",79.4
"0002-W-99124",83.2
"0002-W-99123",81.0
"0002-W-99122",81.7
"0002-W-99121",81.2
"0002-W-99120",79.1
"0002-W-99119",80.0
"0002-W-99118",81.5
"0002-W-99117",83.8
"0002-W-99116",82.2
"0002-W-99115",82.4
"0002-W-99114",79.9
"0002-W-99113",82.3
"0002-W-99112",83.2
"0002-W-99111",81.3
"0002-W-99110",82.4
"0002-W-99109",82.2
"0002-W-99108",82.0
"0002-W-99107",83.7
"0002-W-99106",84.6
"0002-W-99105",85.7
"0002-W-99104",85.1
"0002-W-99103",84.5
"0002-W-99102",85.6
"0002-W-99101",84.7
"0002-W-99100",79.9
"0002-W-99099",88.9
