"Year","Wolfer sunspot numbers, 1770 to 1869"
"1779",72
"1780",70
"1781",69
"1782",66
"1783",65
"1784",63
"1785",64
"1786",71
"1787",74
"1788",72
"1789",71
"1790",72
"1791",72
"1792",74
"1793",76
"1794",79
"1795",79
"1796",72
"1797",60
"1798",47
"1799",36
"1800",28
"1801",25
"1802",24
"1803",23
"1804",24
"1805",26
"1806",27
"1807",28
"1808",28
"1809",28
"1810",26
"1811",23
"1812",19
"1813",16
"1814",12
"1815",12
"1816",13
"1817",17
"1818",19
"1819",21
"1820",22
"1821",23
"1822",23
"1823",22
"1824",21
"1825",20
"1826",19
"1827",20
"1828",23
"1829",27
"1830",33
"1831",37
"1832",39
"1833",40
"1834",40
"1835",44
"1836",53
"1837",62
"1838",66
"1839",68
"1840",67
"1841",66
"1842",65
"1843",66
"1844",66
"1845",64
"1846",58
"1847",54
"1848",56
"1849",57
"1850",58
"1851",60
"1852",63
"1853",66
"1854",67
"1855",64
"1856",58
"1857",50
"1858",43
"1859",43
"1860",46
"1861",47
"1862",48
"1863",48
"1864",51
"1865",53
"1866",54
"1867",53
"1868",51
"1869",49

Wolfer sunspot numbers, 1770 to 1869

